"","date","rec_group_adjusted_new","individuals_at_receiver","total_individuals","proportion","avg_depth"
"265",2022-01-08,"West End",14,16,87.5,5.94190425159198
"266",2022-01-09,"Central",1,16,6.25,NA
"267",2022-01-09,"North shore",1,16,6.25,4.51588942598187
"268",2022-01-09,"West End",14,16,87.5,5.72176212694182
"269",2022-01-10,"Bayfront area",7,16,43.75,6.19142893075087
"270",2022-01-10,"Central",1,16,6.25,NA
"271",2022-01-10,"North shore",1,16,6.25,4.8126
"272",2022-01-10,"West End",7,16,43.75,5.03714758964279
"273",2022-01-11,"Bayfront area",1,16,6.25,8.99037777777778
"274",2022-01-11,"Central",1,16,6.25,NA
"275",2022-01-11,"West End",14,16,87.5,5.53515247306588
"276",2022-01-12,"Bayfront area",2,16,12.5,6.27384516129032
"277",2022-01-12,"Central",1,16,6.25,NA
"278",2022-01-12,"West End",13,16,81.25,5.35729128221054
"279",2022-01-13,"Bayfront area",3,16,18.75,5.23657684833237
"280",2022-01-13,"Central",2,16,12.5,4.90504956250629
"281",2022-01-13,"North shore",1,16,6.25,6.89671428571429
"282",2022-01-13,"West End",10,16,62.5,5.21324617427415
"283",2022-01-14,"Bayfront area",2,16,12.5,2.47112677595628
"284",2022-01-14,"Central",2,16,12.5,5.7086
"285",2022-01-14,"West End",12,16,75,5.25605302537839
"286",2022-01-15,"Bayfront area",2,16,12.5,2.54288950276243
"287",2022-01-15,"Central",2,16,12.5,5.0382
"288",2022-01-15,"West End",12,16,75,5.34842102375374
"289",2022-01-16,"Bayfront area",2,16,12.5,4.81693391156463
"290",2022-01-16,"Central",1,16,6.25,NA
"291",2022-01-16,"North shore",1,16,6.25,4.9254
"292",2022-01-16,"West End",12,16,75,5.55389933239209
"293",2022-01-17,"Bayfront area",2,16,12.5,4.64798357235984
"294",2022-01-17,"Central",1,16,6.25,NA
"295",2022-01-17,"West End",13,16,81.25,5.16814880967222
"296",2022-01-18,"Bayfront area",2,16,12.5,5.23118484848485
"297",2022-01-18,"Central",1,16,6.25,NA
"298",2022-01-18,"North shore",3,16,18.75,4.8717512195122
"299",2022-01-18,"West End",10,16,62.5,5.6477430684062
"300",2022-01-19,"Bayfront area",2,16,12.5,2.33458095238095
"301",2022-01-19,"Central",1,16,6.25,NA
"302",2022-01-19,"North shore",2,16,12.5,4.39355789473684
"303",2022-01-19,"West End",11,16,68.75,5.4171892276421
"304",2022-01-20,"Bayfront area",2,16,12.5,4.60282017291066
"305",2022-01-20,"Central",2,16,12.5,4.53686666666667
"306",2022-01-20,"North shore",1,16,6.25,NA
"307",2022-01-20,"West End",11,16,68.75,5.19819196053654
"308",2022-01-21,"Bayfront area",1,16,6.25,2.27833950953679
"309",2022-01-21,"Central",1,16,6.25,NA
"310",2022-01-21,"North shore",3,16,18.75,4.54205069356873
"311",2022-01-21,"West End",11,16,68.75,5.22216880619204
"312",2022-01-22,"Bayfront area",1,16,6.25,2.20566666666667
"313",2022-01-22,"Central",1,16,6.25,NA
"314",2022-01-22,"North shore",2,16,12.5,4.57320280112045
"315",2022-01-22,"West End",12,16,75,5.25051661376329
"316",2022-01-23,"Bayfront area",1,16,6.25,2.12165945945946
"317",2022-01-23,"Central",1,16,6.25,NA
"318",2022-01-23,"North shore",2,16,12.5,4.46421531100478
"319",2022-01-23,"West End",12,16,75,4.81773286464093
"320",2022-01-24,"Bayfront area",1,16,6.25,2.0948146627566
"321",2022-01-24,"Central",1,16,6.25,NA
"322",2022-01-24,"West End",14,16,87.5,4.92716843843468
"323",2022-01-25,"Bayfront area",1,16,6.25,2.05745231607629
"324",2022-01-25,"Central",1,16,6.25,NA
"325",2022-01-25,"West End",14,16,87.5,4.44128813161794
"326",2022-01-26,"Bayfront area",1,16,6.25,2.00328181818182
"327",2022-01-26,"Carrolls Bay",1,16,6.25,2.43977142857143
"328",2022-01-26,"Central",1,16,6.25,NA
"329",2022-01-26,"West End",13,16,81.25,4.72940340068687
"330",2022-01-27,"Bayfront area",1,16,6.25,1.94309498680739
"331",2022-01-27,"Carrolls Bay",1,16,6.25,1.29723402489627
"332",2022-01-27,"Central",1,16,6.25,NA
"333",2022-01-27,"West End",13,16,81.25,4.08708161589247
"334",2022-01-28,"Bayfront area",2,16,12.5,2.23696021164021
"335",2022-01-28,"Carrolls Bay",1,16,6.25,1.28791217712177
"336",2022-01-28,"Central",1,16,6.25,NA
"337",2022-01-28,"West End",12,16,75,3.94525941958053
"338",2022-01-29,"Bayfront area",1,16,6.25,1.73493242506812
"339",2022-01-29,"Carrolls Bay",2,16,12.5,1.68545518766509
"340",2022-01-29,"Central",1,16,6.25,NA
