Longitude (x),Latitude (y),Station Name,Climate ID,Date_Time,Year,Month,Day,Time,Flag,Temp ,Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-79.91,43.29,HAMILTON RBG CS,6153301,4/5/2025 13:00,2025,4,5,13:00,,7,,5.9,,93,,0.4,,,,0,,,,99.83,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/5/2025 14:00,2025,4,5,14:00,,8.7,,7.8,,94,,0.5,,21,,4,,,,99.81,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/5/2025 15:00,2025,4,5,15:00,,10.6,,9.1,,90,,0,,26,,6,,,,99.79,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/5/2025 16:00,2025,4,5,16:00,,10.7,,8.1,,84,,0,,28,,14,,,,99.85,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/5/2025 17:00,2025,4,5,17:00,,10.4,,7.2,,81,,0,,28,,11,,,,99.98,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/5/2025 18:00,2025,4,5,18:00,,9.4,,5.9,,79,,0,,29,,10,,,,100.1,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/5/2025 19:00,2025,4,5,19:00,,8.6,,4.9,,78,,0,,28,,10,,,,100.22,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/5/2025 20:00,2025,4,5,20:00,,7.3,,3.5,,77,,0,,27,,8,,,,100.29,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/5/2025 21:00,2025,4,5,21:00,,6.2,,3.1,,81,,0,,,,0,,,,100.25,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/5/2025 22:00,2025,4,5,22:00,,5.7,,3.2,,84,,0,,,,0,,,,100.18,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/5/2025 23:00,2025,4,5,23:00,,6,,3.2,,82,,0,,23,,3,,,,100.23,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/6/2025 0:00,2025,4,6,0:00,,6,,1.6,,73,,0,,31,,6,,,,100.25,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/6/2025 1:00,2025,4,6,1:00,,4.9,,-0.1,,70,,0,,32,,10,,,,100.31,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/6/2025 2:00,2025,4,6,2:00,,3.9,,-1.8,,66,,0,,30,,9,,,,100.24,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/6/2025 3:00,2025,4,6,3:00,,3.3,,-5.1,,54,,0,,29,,9,,,,100.27,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/6/2025 4:00,2025,4,6,4:00,,3.2,,-5.9,,51,,0,,31,,11,,,,100.37,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/6/2025 5:00,2025,4,6,5:00,,2.6,,-6.5,,51,,0,,30,,9,,,,100.35,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/6/2025 6:00,2025,4,6,6:00,,2.3,,-6.9,,51,,0,,31,,9,,,,100.37,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/6/2025 7:00,2025,4,6,7:00,,2,,-5.4,,58,,0,,30,,8,,,,100.41,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/6/2025 8:00,2025,4,6,8:00,,2.6,,-6.1,,52,,0,,33,,10,,,,100.44,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/6/2025 9:00,2025,4,6,9:00,,3.6,,-7.1,,45,,0,,32,,14,,,,100.52,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/6/2025 10:00,2025,4,6,10:00,,4.9,,-8.2,,38,,0,,33,,12,,,,100.53,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/6/2025 11:00,2025,4,6,11:00,,6,,-11,,28,,0,,34,,13,,,,100.53,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/6/2025 12:00,2025,4,6,12:00,,6.3,,-12.5,,25,,0,,35,,9,,,,100.42,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/6/2025 13:00,2025,4,6,13:00,,7.1,,-10.3,,28,,0,,34,,9,,,,100.34,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/6/2025 14:00,2025,4,6,14:00,,7.8,,-11.5,,24,,0,,28,,7,,,,100.28,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/6/2025 15:00,2025,4,6,15:00,,8.8,,-9.9,,26,,0,,30,,8,,,,100.26,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/6/2025 16:00,2025,4,6,16:00,,7.6,,-9.7,,28,,0,,30,,9,,,,100.29,,,,,,NA
