"","station","glatos_array","station_no","consecutive_deploy_no","intend_lat","intend_long","deploy_lat","deploy_long","recover_lat","recover_long","deploy_date_time","recover_date_time","bottom_depth","riser_length","instrument_depth","ins_model_no","glatos_ins_frequency","ins_serial_no","code_map","code_map_comment","deployed_by","comments","glatos_seasonal","glatos_project","glatos_vps"
"85","HAM-037","HAM","37",1,NA,NA,43.27894,-79.88618,NA,NA,2016-12-12 11:00:00,2017-04-10 04:00:00,NA,NA,NA,"VR2W",69,129325,"MAP-113","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No"
"86","HAM-031","HAM","31",2,NA,NA,43.2733,-79.90111,NA,NA,2017-04-04 13:35:00,2017-10-18 15:00:00,1.5,NA,NA,"VR2W",69,127831,"MAP-113",NA,NA,NA,"Yes","HAMLO","No"
"87","HAM-030","HAM","30",2,NA,NA,43.27198,-79.92513,NA,NA,2017-04-04 14:00:00,2017-10-18 15:00:00,NA,NA,NA,"VR2W",69,121999,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"88","HAM-010","HAM","10",3,NA,NA,43.26856,-79.7815,NA,NA,2017-04-04 15:30:00,2017-10-25 16:00:00,NA,NA,NA,"VR2W",69,131523,"MAP-113","error 1 initialization occurred between deploy and recover",NA,NA,"Yes","HAMLO","No"
"89","HAM-029","HAM","29",3,NA,NA,43.28943,-79.88736,NA,NA,2017-04-04 17:09:00,2017-10-18 15:00:00,NA,NA,NA,"VR2W",69,119694,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"90","HAM-033","HAM","33",2,NA,NA,43.29214,-79.88402,NA,NA,2017-04-04 17:29:00,2017-10-18 15:00:00,NA,NA,NA,"VR2W",69,129324,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"91","HAM-013","HAM","13",4,NA,NA,43.29702,-79.8015,NA,NA,2017-04-07 14:00:00,2017-10-25 14:09:00,NA,NA,NA,"VR2W",69,127846,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"92","HAM-008","HAM","8",4,NA,NA,43.27537,-79.79333,NA,NA,2017-04-10 14:00:00,2017-10-24 14:16:00,7.3,NA,NA,"VR2W",69,126880,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"93","HAM-019","HAM","19",4,NA,NA,43.27781,-79.8519,NA,NA,2017-04-10 14:48:00,2017-10-23 17:38:00,14.4,NA,NA,"VR2W",69,127847,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"94","HAM-015","HAM","15",4,NA,NA,43.29379,-79.85567,NA,NA,2017-04-10 15:04:00,2017-10-23 18:00:00,7.5,NA,NA,"VR2W",69,127828,"MAP-113",NA,NA,NA,"No","HAMLO","No"
